pal_function,package,palette,length,type,novelty,creatorName,maintainerName,projectUrl,description,colors
paletteer_d,basetheme,ink,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#FF0000FF, #0000FFFF, #008B00FF, #8B4513FF, #ECC700FF, #A020F0FF, #FF8C00FF, #EE1289FF, #00FFFFFF, #00FF00FF"
paletteer_d,basetheme,minimal,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#5DA5DAFF, #FAA43AFF, #60BD68FF, #F15854FF, #B276B2FF, #8D4B08FF, #DECF3FFF, #F17CB0FF, #66E3D9FF, #00FF7FFF"
paletteer_d,basetheme,royal,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#7852A9FF, #E93FBCFF, #B33941FF, #1175BBFF, #2E8B57FF, #DBA520FF, #EF7215FF, #4AC6AEFF, #997950FF, #E27069FF"
paletteer_d,basetheme,void,10,qualitative,TRUE,"Karolis Koncevičius [aut, cre]",Karolis Koncevičius <karolis.koncevicius@gmail.com>,https://github.com/karoliskoncevicius/basetheme,Functions to create and select graphical themes for the base plotting system. Contains: 1) several custom pre-made themes 2) mechanism for creating new themes by making persistent changes to the graphical parameters of base plots.,"#5DA5DAFF, #FAA43AFF, #60BD68FF, #F15854FF, #B276B2FF, #8D4B08FF, #DECF3FFF, #F17CB0FF, #66E3D9FF, #00FF7FFF"
paletteer_d,beyonce,X1,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#273649FF, #647184FF, #B1B2C8FF, #A7755DFF, #5D2E1CFF, #38201CFF"
paletteer_d,beyonce,X2,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#0F2B5FFF, #5991C7FF, #8EC1E7FF, #B9DBF1FF, #D5A370FF, #7B4F37FF"
paletteer_d,beyonce,X3,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#5A7362FF, #6B867CFF, #A1A897FF, #9A8D6BFF, #8E6341FF, #432B21FF"
paletteer_d,beyonce,X4,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1F150DFF, #2B190CFF, #513B2CFF, #9B4D44FF, #893D37FF, #3E1B17FF"
paletteer_d,beyonce,X5,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#9C8A45FF, #CABE85FF, #678B88FF, #9CADAFFF, #CCCCCCFF, #EFEFEFFF"
paletteer_d,beyonce,X6,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1C3333FF, #226060FF, #639CA4FF, #D2AD7CFF, #BE7245FF, #46211CFF"
paletteer_d,beyonce,X7,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#0D1723FF, #112040FF, #204D88FF, #96ABC6FF, #D1DDE2FF, #EFEFEFFF"
paletteer_d,beyonce,X8,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#000000FF, #350E16FF, #5E1521FF, #A72C29FF, #C44221FF, #EC702EFF"
paletteer_d,beyonce,X9,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#A56B47FF, #C79982FF, #0D8EDAFF, #23ADEDFF, #6BC6F5FF, #EFEFEFFF"
paletteer_d,beyonce,X10,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#2A2432FF, #4F3855FF, #846D86FF, #EFEFCFFF, #D5B77DFF, #A89E5EFF"
paletteer_d,beyonce,X11,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#3D227FFF, #993382FF, #C81B74FF, #B6D5D7FF, #C7DBD8FF, #EFEFEFFF"
paletteer_d,beyonce,X12,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#451E06FF, #7A3C12FF, #C18E4FFF, #7E748DFF, #ACA3B7FF, #A1C0C2FF"
paletteer_d,beyonce,X13,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#01213DFF, #022A44FF, #1D96BFFF, #985F81FF, #9B3257FF, #480F1FFF"
paletteer_d,beyonce,X14,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#211E31FF, #38233EFF, #4F2035FF, #A4275DFF, #C75D6CFF, #F6A5A1FF"
paletteer_d,beyonce,X15,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#020419FF, #262D58FF, #798BB5FF, #72B9DEFF, #2B72ADFF, #182B64FF"
paletteer_d,beyonce,X16,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#110D03FF, #3B2611FF, #9A703FFF, #BF9539FF, #E8C163FF, #FFE4BFFF"
paletteer_d,beyonce,X17,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#231040FF, #2C1769FF, #5D36B1FF, #CFA2D2FF, #D3D2BFFF, #E5E4D0FF"
paletteer_d,beyonce,X18,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#424395FF, #018AC4FF, #5EC2DAFF, #EBC915FF, #EB549AFF, #550133FF"
paletteer_d,beyonce,X19,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#08173AFF, #012F53FF, #016D83FF, #02A0A2FF, #AC9679FF, #E9DEB4FF"
paletteer_d,beyonce,X20,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1B0204FF, #4E0C0DFF, #881618FF, #B01515FF, #C47F4EFF, #773924FF"
paletteer_d,beyonce,X21,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#171C45FF, #3E2361FF, #622E82FF, #A45789FF, #8EC87AFF, #439E5FFF"
paletteer_d,beyonce,X22,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#12343AFF, #193E44FF, #539E59FF, #84C876FF, #BBD961FF, #F5EC54FF"
paletteer_d,beyonce,X23,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#937338FF, #B99A57FF, #D7C295FF, #EADCBFFF, #E3BD91FF, #B2825BFF"
paletteer_d,beyonce,X24,4,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#2B1917FF, #7E5945FF, #BC927BFF, #F1E6E1FF"
paletteer_d,beyonce,X25,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#040406FF, #07144EFF, #0D5BBBFF, #9EBBE7FF, #F80F61FF, #6F041EFF"
paletteer_d,beyonce,X26,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1F0206FF, #3C030AFF, #6C051AFF, #A81F31FF, #B84E5AFF, #D8ADC1FF"
paletteer_d,beyonce,X27,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#2B1F6BFF, #531F67FF, #71195AFF, #994C9CFF, #DB829BFF, #FBB5B7FF"
paletteer_d,beyonce,X28,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#82441BFF, #B45921FF, #F49D63FF, #FDC57AFF, #FEEECFFF, #F6F6F6FF"
paletteer_d,beyonce,X29,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#43152BFF, #7B3532FF, #CC643FFF, #CF7F46FF, #CBE08BFF, #86C767FF"
paletteer_d,beyonce,X30,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#040320FF, #352140FF, #871951FF, #EB4A60FF, #CFAB7AFF, #EEE5B4FF"
paletteer_d,beyonce,X31,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#020113FF, #1B143CFF, #431534FF, #5F2E4CFF, #717F9AFF, #4F4D72FF"
paletteer_d,beyonce,X32,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#D56702FF, #EA8425FF, #FCCD1BFF, #EFE3D7FF, #EFEFEFFF, #DB1C6AFF"
paletteer_d,beyonce,X33,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#003542FF, #00766EFF, #008A82FF, #DDE0D0FF, #D4B798FF, #B58052FF"
paletteer_d,beyonce,X34,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#000000FF, #333333FF, #666666FF, #F8D564FF, #EFB344FF, #F8A02EFF"
paletteer_d,beyonce,X35,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#87B9D5FF, #9DCBE4FF, #BBD4E4FF, #B7D1BFFF, #DAB87CFF, #744D1FFF"
paletteer_d,beyonce,X36,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#180705FF, #3A140CFF, #DD8521FF, #F1C332FF, #ED9C97FF, #E1595CFF"
paletteer_d,beyonce,X37,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#030439FF, #00298CFF, #211DF0FF, #4092E1FF, #CE8A8CFF, #4B393BFF"
paletteer_d,beyonce,X38,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#421E0FFF, #582810FF, #8F522FFF, #E9BEA0FF, #355A67FF, #293A39FF"
paletteer_d,beyonce,X39,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#417839FF, #9BB655FF, #D3D5AEFF, #EDD6D5FF, #D89873FF, #803342FF"
paletteer_d,beyonce,X40,8,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#042F49FF, #096590FF, #3394BBFF, #8DB576FF, #418877FF, #146252FF, #B06429FF, #E5AE8DFF"
paletteer_d,beyonce,X41,5,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#411F6BFF, #623976FF, #BE3979FF, #DB928AFF, #E2C6A6FF"
paletteer_d,beyonce,X42,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#241E0CFF, #342C16FF, #574A2FFF, #6D5D3BFF, #B48E64FF, #72472FFF"
paletteer_d,beyonce,X43,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#283265FF, #55648CFF, #7C86A6FF, #72C3C7FF, #F8FFFFFF, #50B8BEFF"
paletteer_d,beyonce,X44,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#CA2A48FF, #E7466EFF, #F36892FF, #FC98B4FF, #CCCCCCFF, #EFEFEFFF"
paletteer_d,beyonce,X45,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#12070DFF, #38190FFF, #8C5228FF, #FA9646FF, #FED5ACFF, #B41417FF"
paletteer_d,beyonce,X46,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1F1A15FF, #5F392CFF, #ECCAADFF, #EBD6C0FF, #EA879CFF, #8E2322FF"
paletteer_d,beyonce,X47,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#2D1E78FF, #4A3587FF, #635595FF, #ABB2A5FF, #9D9E92FF, #848575FF"
paletteer_d,beyonce,X48,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#341D39FF, #562034FF, #84254FFF, #BA2271FF, #CD3A95FF, #DBD553FF"
paletteer_d,beyonce,X49,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1755A2FF, #3E8AC6FF, #BDB0A0FF, #DDD9D0FF, #D573A6FF, #BE0157FF"
paletteer_d,beyonce,X50,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#715C59FF, #BFAAA5FF, #DBCAC6FF, #EBDCDCFF, #F2E4E3FF, #D1D0D5FF"
paletteer_d,beyonce,X51,6,divergent,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#07646DFF, #45837FFF, #699896FF, #E394BBFF, #DE6DA7FF, #D4419EFF"
paletteer_d,beyonce,X52,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#A1674FFF, #D7A786FF, #EBD9C6FF, #F0E7DDFF, #F2EDE6FF, #64BDC6FF"
paletteer_d,beyonce,X53,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#000000FF, #1C153FFF, #403081FF, #5D4494FF, #AD8867FF, #8C6542FF"
paletteer_d,beyonce,X54,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#068D9DFF, #65A8ABFF, #8CBDBCFF, #ADB9A1FF, #BCC2A5FF, #D0AF84FF"
paletteer_d,beyonce,X55,7,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#5C4746FF, #7F6B61FF, #836F65FF, #C2B0A3FF, #D9C6B8FF, #F4EBE2FF, #FFF8F5FF"
paletteer_d,beyonce,X56,6,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#19172CFF, #A20226FF, #818392FF, #AAB0BEFF, #E3EAF4FF, #FFFFFFFF"
paletteer_d,beyonce,X57,9,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#4A1326FF, #5E0F24FF, #750B21FF, #943047FF, #BE294CFF, #A46478FF, #ACBAC7FF, #8895A5FF, #7E8B9CFF"
paletteer_d,beyonce,X58,6,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#01000EFF, #D42D24FF, #EE7E24FF, #FBA724FF, #DABD8EFF, #C9C8C6FF"
paletteer_d,beyonce,X59,9,sequential,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#491C09FF, #722D19FF, #A54E21FF, #CC842AFF, #E7A92FFF, #DFB54DFF, #DDB855FF, #DABE69FF, #F2E488FF"
paletteer_d,beyonce,X60,9,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1F4E93FF, #464A6BFF, #4275AFFF, #617B97FF, #7A99C3FF, #BBC6D4FF, #E5E6E8FF, #E28772FF, #D83036FF"
paletteer_d,beyonce,X61,15,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#221C3EFF, #383562FF, #424071FF, #424072FF, #575EAEFF, #585FAFFF, #6E6DA7FF, #E2BC7DFF, #E2BC7BFF, #E1B97CFF, #A7743FFF, #A8733FFF, #A6403BFF, #AC2E31FF, #AC2E32FF"
paletteer_d,beyonce,X62,23,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#01193FFF, #001A3FFF, #001A3DFF, #001D49FF, #002B6AFF, #012A6AFF, #002C6BFF, #0F4581FF, #0061BCFF, #0261BDFF, #0062BDFF, #70849DFF, #C4A89AFF, #C4A998FF, #C5A89AFF, #C3A799FF, #C6AA9CFF, #E6D9C6FF, #E6D9C8FF, #E8D8C8FF, #E8D9C6FF, #F0E8DDFF, #F8F3EFFF"
paletteer_d,beyonce,X63,11,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#0A2443FF, #254D72FF, #75A6F0FF, #74A7EFFF, #5BC4D9FF, #B7D0D2FF, #C5D8DFFF, #BBA7A3FF, #B7928AFF, #B5958EFF, #9B6E65FF"
paletteer_d,beyonce,X64,11,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#22203BFF, #35213DFF, #3A213EFF, #472240FF, #5B2442FF, #737C77FF, #72BD95FF, #63BBA4FF, #02AC9AFF, #2B9494FF, #015969FF"
paletteer_d,beyonce,X65,13,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#000000FF, #FFFFFFFF, #FEFEFEFF, #FCFCFCFF, #F9F9F9FF, #F3F3F3FF, #ECECECFF, #EAEAEAFF, #EBEBEBFF, #FDFDFDFF, #FBFBFBFF, #F0E5C4FF, #D9BC68FF"
paletteer_d,beyonce,X66,11,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#252B5BFF, #125B99FF, #0C66ACFF, #6FA7B9FF, #80CCDFFF, #DBD749FF, #FCEA1BFF, #EAC89BFF, #F5BD9FFF, #E69EA6FF, #E74690FF"
paletteer_d,beyonce,X67,11,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1C121BFF, #27232AFF, #2C2B30FF, #4F4848FF, #786A65FF, #B4A8A7FF, #E3D9DBFF, #AD988FFF, #4F2B12FF, #512D19FF, #451E09FF"
paletteer_d,beyonce,X68,11,qualitative,TRUE,"David Miller [aut, cre]",David Miller <dave@ninepointeightone.net>,https://github.com/dill/beyonce,Palettes generated from http://beyoncepalettes.tumblr.com,"#1D1D20FF, #434544FF, #454746FF, #481825FF, #4A0317FF, #7A172BFF, #992437FF, #633142FF, #17293BFF, #66838EFF, #5F7E89FF"
